ダウンロードした時刻：2020/02/12 11:50:17,,,
,,,
,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2019/12/1,8.5,15.2,-2.5
2019/12/2,10.8,15.1,6.9
2019/12/3,6.4,11.1,2
2019/12/4,5.3,10.6,0.9
2019/12/5,3.7,9.9,-0.9
2019/12/6,1.6,5.6,-0.5
2019/12/7,0.8,3.8,-1.8
2019/12/8,0.7,6.3,-4.3
2019/12/9,3.7,13.2,-3.4
2019/12/10,5.6,15.7,-1.3
2019/12/11,5.1,13.8,-1.8
2019/12/12,7.7,12.4,0.3
2019/12/13,1.8,7,-1.8
2019/12/14,5.6,12.4,-2.8
2019/12/15,2,6.9,-1.9
2019/12/16,1.7,11.4,-4.5
2019/12/17,6.3,13.4,-0.1
2019/12/18,8.1,13,4
2019/12/19,5.8,10.1,1.2
2019/12/20,6.3,10.6,-0.3
2019/12/21,3.2,8.9,-1.2
2019/12/22,1.6,5,-1.2
2019/12/23,2.9,6.9,0.2
2019/12/24,2,5,-1.7
2019/12/25,3.3,12.2,-3.8
2019/12/26,2.9,4.6,0
2019/12/27,2.6,6.5,-1.9
2019/12/28,-0.3,4.7,-3.6
2019/12/29,0.1,6.7,-5.1
2019/12/30,6.1,11.6,-0.7
2019/12/31,6.6,13.6,-2.7
2020/1/1,-0.2,7.3,-5.3
2020/1/2,0.6,5.9,-2.8
2020/1/3,1.1,8.9,-4.4
2020/1/4,1.7,6.7,-0.9
2020/1/5,0.2,4.8,-3.2
2020/1/6,-0.3,5,-5.3
2020/1/7,1.9,9.4,-3.3
2020/1/8,10.4,15.4,6.2
2020/1/9,4.6,10,-0.1
2020/1/10,2.4,7.4,-1.4
2020/1/11,2.6,11.8,-3.9
2020/1/12,1.6,5.8,-1.3
2020/1/13,5.2,9.9,0.8
2020/1/14,4.5,8.1,1.9
2020/1/15,2.6,7.8,-0.9
2020/1/16,0,4.6,-3.5
2020/1/17,0.7,6.7,-4
2020/1/18,1.4,3.1,-0.1
2020/1/19,3.2,6.5,-0.5
2020/1/20,5.6,10.3,3.2
2020/1/21,1.9,6,-3
2020/1/22,3.6,12.3,-5.3
2020/1/23,6.7,9,4.1
2020/1/24,6,10.3,2.1
2020/1/25,1.7,5.2,0.3
2020/1/26,2.8,9.1,-0.1
2020/1/27,0.9,2.9,-0.6
2020/1/28,1,2.4,-0.3
2020/1/29,4.6,10.5,1.2
2020/1/30,6,11.5,1.6
2020/1/31,1.5,5.5,-2.8
2020/2/1,0.1,7.6,-5.3
2020/2/2,0.5,8,-5.2
2020/2/3,4.8,11.6,-3.3
2020/2/4,3.4,9.2,-2.4
2020/2/5,2.6,8.1,-2.7
2020/2/6,-3.3,0.8,-7.7
2020/2/7,-3.1,5.7,-9.8
2020/2/8,0.9,5.6,-3.7
2020/2/9,-2.4,2.3,-6.2
2020/2/10,-1.4,6.2,-8.3
2020/2/11,-0.4,5.6,-5
2020/2/12,0.1,6,-5
2020/2/13,0.2,6.1,-4.9
2020/2/14,0.2,6.1,-4.9
2020/2/15,0.3,6.1,-4.8
2020/2/16,0.3,6.2,-4.7
2020/2/17,0.4,6.2,-4.6
2020/2/18,0.5,6.3,-4.5
2020/2/19,0.5,6.4,-4.4
2020/2/20,0.6,6.4,-4.3
2020/2/21,0.7,6.5,-4.2
2020/2/22,0.8,6.6,-4.1
2020/2/23,0.9,6.8,-4
2020/2/24,1,6.9,-3.9
2020/2/25,1.2,7.1,-3.8
2020/2/26,1.3,7.2,-3.7
2020/2/27,1.4,7.4,-3.5
2020/2/28,1.6,7.6,-3.4
2020/2/29,1.7,7.8,-3.3
2020/3/1,1.9,8,-3.2
2020/3/2,2,8.2,-3.1
2020/3/3,2.1,8.4,-3
2020/3/4,2.3,8.6,-2.9
2020/3/5,2.4,8.8,-2.8
2020/3/6,2.6,9,-2.7
2020/3/7,2.7,9.2,-2.6
2020/3/8,2.9,9.4,-2.5
2020/3/9,3,9.5,-2.4
2020/3/10,3.2,9.7,-2.3
2020/3/11,3.3,9.9,-2.2
2020/3/12,3.5,10.1,-2
2020/3/13,3.7,10.3,-1.9
2020/3/14,3.8,10.5,-1.7
2020/3/15,4,10.6,-1.6
2020/3/16,4.1,10.8,-1.4
2020/3/17,4.3,10.9,-1.3
2020/3/18,4.4,11.1,-1.1
2020/3/19,4.6,11.2,-1
2020/3/20,4.7,11.4,-0.9
2020/3/21,4.9,11.5,-0.7
2020/3/22,5,11.6,-0.6
2020/3/23,5.2,11.8,-0.4
2020/3/24,5.3,12,-0.3
2020/3/25,5.5,12.1,-0.1
2020/3/26,5.7,12.4,0
2020/3/27,5.9,12.6,0.2
2020/3/28,6.1,12.9,0.4
2020/3/29,6.4,13.2,0.5
